office_type,twitter_data_type,election_year,number_accounts
senate,combined,2010,17
senate,combined,2012,30
senate,combined,2014,34
senate,combined,2016,39
senate,combined,2018,40
senate,combined,2020,38
senate,all,2010,19
senate,all,2012,43
senate,all,2014,50
senate,all,2016,64
senate,all,2018,68
senate,all,2020,65
house,combined,2010,92
house,combined,2012,187
house,combined,2014,266
house,combined,2016,327
house,combined,2018,394
house,combined,2020,393
house,all,2010,107
house,all,2012,243
house,all,2014,388
house,all,2016,497
house,all,2018,602
house,all,2020,686
